prompt_name,BLEU,ROUGE1,ROUGEL,BERTScore
의미요청,0.016826075883099433,0.7692307692307693,0.5384615384615384,0.7360962629318237
단순의미요청,0.02038579679765606,0.7692307692307693,0.6153846153846154,0.7257173657417297
디테일하게요청,0.035469775990899066,0.4081632653061224,0.4081632653061224,0.7109158039093018
전문가수준요청,0.00736467182856033,0.18518518518518517,0.18518518518518517,0.7165058255195618
논문의 간단한 설명요청,0.04943946226616983,0.5405405405405406,0.5405405405405406,0.715233564376831
간단한 번역요청,0.06302647598688789,0.6666666666666666,0.6666666666666666,0.7762488722801208
